source_id,site_id,market_type,name,district,market_committee,state,latitude,longitude,coords_usable,coord_flags,storage_godowns,storage_capacity,shops,opens,closes,raw_lat,raw_lon,image_url,source_url,retrieved_on
rm-1,112,Regulated Market,Anaimalai,,Coimbatore,Tamil Nadu,10.5823,76.9347,True,ok,7,6700,,,,10.5823,76.9347,http://www.agrimark.tn.gov.in/MRS/uploads/rm/112.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-2,108,Regulated Market,Annur,,Coimbatore,Tamil Nadu,11.14,77.06,True,low_precision,4,2350,,,,11.14,77.06,http://www.agrimark.tn.gov.in/MRS/uploads/rm/108.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-3,110,Regulated Market,Coimbatore,,Coimbatore,Tamil Nadu,10.59,76.59,True,low_precision,4,3400,,,,10.59,76.59,http://www.agrimark.tn.gov.in/MRS/uploads/rm/110.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-4,109,Regulated Market,Karamadai,,Coimbatore,Tamil Nadu,11.23846,76.96283,True,ok,1,500,,,,11.23846,76.96283,http://www.agrimark.tn.gov.in/MRS/uploads/rm/109.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-5,115,Regulated Market,Kinathukkadavu,,Coimbatore,Tamil Nadu,10.88,77.01,True,low_precision,2,2300,,,,10.88,77.01,http://www.agrimark.tn.gov.in/MRS/uploads/rm/115.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-6,114,Regulated Market,Malayadipalayam,,Coimbatore,Tamil Nadu,11.11,76.92,True,low_precision,4,3760,,,,11.11,76.92,http://www.agrimark.tn.gov.in/MRS/uploads/rm/114.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-7,117,Regulated Market,Negamam,,Coimbatore,Tamil Nadu,10.74,77.1,True,low_precision,1,350,,,,10.74,77.10,http://www.agrimark.tn.gov.in/MRS/uploads/rm/117.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-8,113,Regulated Market,Pollachi,,Coimbatore,Tamil Nadu,10.39,76.59,True,low_precision,2,2770,,,,10.39,76.59,http://www.agrimark.tn.gov.in/MRS/uploads/rm/113.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-9,111,Regulated Market,Sulur,,Coimbatore,Tamil Nadu,11.027378,77.140015,True,ok,2,1175,,,,11.027378,77.140015,http://www.agrimark.tn.gov.in/MRS/uploads/rm/1111.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-10,116,Regulated Market,Thondamuthur,,Coimbatore,Tamil Nadu,10.99662,76.849237,True,ok,2,2700,,,,10.99662,76.849237,http://www.agrimark.tn.gov.in/MRS/uploads/rm/1162.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-11,20,Regulated Market,Kattumannarkoil,,Cuddalore,Tamil Nadu,11.266713,79.555298,True,ok,3,3200,,,,11.266713,79.555298,http://www.agrimark.tn.gov.in/MRS/uploads/rm/201.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-12,22,Regulated Market,Kurunchipadi,,Cuddalore,Tamil Nadu,11.564181,79.596032,True,ok,4,5200,,,,11.5641811,79.5960322,http://www.agrimark.tn.gov.in/MRS/uploads/rm/222.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-13,18,Regulated Market,Panruti,,Cuddalore,Tamil Nadu,11.774128,79.546194,True,ok,2,1700,,,,11.774128,79.546194,http://www.agrimark.tn.gov.in/MRS/uploads/rm/181.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-14,17,Regulated Market,Cuddalore,,Cuddalore,Tamil Nadu,11.75,79.75,True,repaired_format,10,,,,,11.75N,79.75E,http://www.agrimark.tn.gov.in/MRS/uploads/rm/17.png,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-15,283,Regulated Market,Veppur,,Cuddalore,Tamil Nadu,11.53796,79.14187,True,repaired_format,2,1500,,,,11.53796°N,79.14187°N,http://www.agrimark.tn.gov.in/MRS/uploads/rm/283.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-16,16,Regulated Market,Virudhachalam,,Cuddalore,Tamil Nadu,11.515931,79.332392,True,ok,4,5300,,,,11.515931,79.332392,http://www.agrimark.tn.gov.in/MRS/uploads/rm/161.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-17,118,Regulated Market,Dharmapuri,,Dharmapuri,Tamil Nadu,12.144397,78.167046,True,ok,2,1200,,,,12.144397,78.167046,http://www.agrimark.tn.gov.in/MRS/uploads/rm/118.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-18,126,Regulated Market,Harur,,Dharmapuri,Tamil Nadu,12.061529,78.476082,True,ok,3,3200,,,,12.061529,78.476082,http://www.agrimark.tn.gov.in/MRS/uploads/rm/126.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
rm-19,120,Regulated Market,Hosur,,Dharmapuri,Tamil Nadu,12.72699,77.82863,True,ok,2,1200,,,,12.72699,77.82863,http://www.agrimark.tn.gov.in/MRS/uploads/rm/120.jpg,https://www.agrimark.tn.gov.in/index.php/Infra,2026-09-21
